trial,pA
0,0.5
1,0.5626128120734399
2,0.6121268635919513
3,0.6530035169627563
4,0.6725235852621896
5,0.6885492852851837
6,0.7041540889304753
7,0.7209223547970041
8,0.7416248708356221
9,0.7332408615110552
10,0.7412529676326278
11,0.7616297383015761
12,0.7692263848417104
13,0.7829203637013462
14,0.7852563366679426
15,0.807797872422914
16,0.8316141623496948
17,0.8411799782241025
18,0.8665796414939493
19,0.8830984120211085
20,0.8335678659537931
21,0.8572653769739991
22,0.862561769118647
23,0.8666144066941531
24,0.8939759546288797
25,0.9001603344977502
26,0.9181708060491934
27,0.9183650982905273
28,0.9194322823336286
29,0.9232490866852778
30,0.9433314226443861
31,0.942326075267908
32,0.9437839881530428
33,0.9476707799698332
34,0.9528219070589556
35,0.9539274585348261
36,0.9587996649725941
37,0.958644087946305
38,0.963637485372821
39,0.9710233747526984
40,0.9797767840333858
41,0.9780356620167622
42,0.9843047073442992
43,0.9884437320007398
44,0.9652095863813835
45,0.9617617058216703
46,0.9597878741038973
47,0.9687579595656615
48,0.964636719171024
49,0.954809214459411
50,0.9584092165016955
51,0.9676838830915132
52,0.9649956966341504
53,0.962776962565155
54,0.9675036435918076
55,0.9738940302490816
56,0.9720126050015775
57,0.9735264867911572
58,0.9735683383890368
59,0.9780369303220331
60,0.9803790635105402
61,0.9750434146588641
62,0.9789058907358599
63,0.9809933215157735
64,0.9823614328038546
65,0.9806232223365791
66,0.9859857380518288
67,0.9898963870932653
68,0.9925300640115303
69,0.9942453491527165
70,0.9953583475761819
71,0.9960899006611181
72,0.9965809549736074
73,0.9874874869674528
74,0.9905996843824731
75,0.9929670925674847
76,0.9872364510380183
77,0.9868358554438861
78,0.9864732410407352
79,0.9908539896039599
80,0.9931654068691296
81,0.9779339678276517
82,0.9804551398358905
83,0.982308695748823
84,0.9766231917935899
85,0.9700812208351143
86,0.9754281908414407
87,0.9763380240719124
88,0.9796990073948715
89,0.9823424647327339
90,0.9840701283137767
91,0.9691476810487214
92,0.9586697802479318
93,0.960391179542352
94,0.9653424528647121
95,0.9768999539754833
96,0.973333383575035
97,0.9672690260130693
98,0.9735484265754366
99,0.9716283072766266
