trial,pA
0,0.6791786991753926
1,0.6111137491281835
2,0.5645938648038247
3,0.5314684253726061
4,0.5168445891974598
5,0.5067438493473259
6,0.5042938740122753
7,0.5064249033377312
8,0.5023475252396432
9,0.5005576050621137
10,0.49937683818239004
11,0.4973138030557325
12,0.49987513562874397
13,0.4969829207603309
14,0.49683833570440794
15,0.4938569803486873
16,0.494366331404434
17,0.4978890575878881
18,0.4986394705975523
19,0.4985964709462204
20,0.5002457458925185
21,0.4960203100349795
22,0.499629430046781
23,0.5005672781059363
24,0.49914767293668144
25,0.4973802214230025
26,0.4970418316697131
27,0.4952987658732864
28,0.4963767884568107
29,0.4957623426251056
30,0.4972849242245349
31,0.49814718830106375
32,0.49946773852152226
33,0.4956651349005831
34,0.4966614139585638
35,0.49824902851908165
36,0.49778879875135607
37,0.49800240546112895
38,0.49683621898677727
39,0.4969003369617713
40,0.4995383224622802
41,0.4993341810174784
42,0.49840441412762426
43,0.5017839953416289
44,0.49943884013395995
45,0.4964133439773123
46,0.4999146009347371
47,0.49984569545458846
48,0.4978432443025283
49,0.4965301688705333
50,0.49986559859855995
51,0.4979537240297104
52,0.5002914576878098
53,0.5006001502817509
54,0.4991413687825752
55,0.4998851195133097
56,0.4966537842768273
57,0.4942646897751148
58,0.4954884808860938
59,0.49440814095160895
60,0.49484046742169807
61,0.4970486017707194
62,0.49830540970658177
63,0.49697842157676
64,0.5006965671282867
65,0.49833463595085403
66,0.4952345213095992
67,0.5010960079786532
68,0.5001905013050479
69,0.49879599609028685
70,0.4986769085098283
71,0.5001182048352881
72,0.49590162065234294
73,0.49792634585907725
74,0.4965544300992417
75,0.4967804777694303
76,0.49377651309164655
77,0.49593299658276174
78,0.4981761916191128
79,0.4976395948106789
80,0.49618922718393466
81,0.49552783576507486
82,0.49460558150931105
83,0.4961272677340463
84,0.49792170087517557
85,0.49830118156597913
86,0.49775168032140277
87,0.49772497383700837
88,0.5000287784883751
89,0.4979670124332162
90,0.49611136150688806
91,0.49924297296913545
92,0.4992356024467478
93,0.49848095642885143
94,0.4975368235920288
95,0.49598097135566577
96,0.49412806278061777
97,0.49257015780218066
98,0.496325284661369
99,0.49800164675597214
