trial,pA
0,0.5
1,0.5063750226090429
2,0.4550540278602761
3,0.4483453636126082
4,0.44116519496289164
5,0.4513610188188214
6,0.47635396820128667
7,0.4545550450962174
8,0.4339141300020091
9,0.4409112031311657
10,0.4547007408668071
11,0.47555135433006795
12,0.47832713585861775
13,0.46915374781991387
14,0.4751340029201279
15,0.4760462043970729
16,0.47863895821922875
17,0.5027850862604021
18,0.4999238933078186
19,0.5055999523202792
20,0.525012074448997
21,0.5326417615631462
22,0.5368346291460449
23,0.5233656840511419
24,0.5363391120857558
25,0.5663347364979353
26,0.5694593327252441
27,0.5850821430461068
28,0.5755335337279089
29,0.5687376349945904
30,0.579537118446251
31,0.5656702371009714
32,0.5609347261985422
33,0.5424009776830538
34,0.5309617480920958
35,0.5567552590968556
36,0.5722830035878175
37,0.5735664524537039
38,0.5537001650921529
39,0.5375941341957233
40,0.5540780315597804
41,0.5616055759448395
42,0.5455151284793568
43,0.5441347150370237
44,0.5503109862773904
45,0.5542850719090691
46,0.5504801154417807
47,0.5479007211994045
48,0.5652712584184001
49,0.5788841368436137
50,0.5793022040787456
51,0.5700223672269654
52,0.5786466280689286
53,0.5553800881649456
54,0.5537885785306549
55,0.5518026097280633
56,0.5457208607878241
57,0.550148309926966
58,0.5486787885854688
59,0.5561552111894035
60,0.573192109588425
61,0.5803816571789084
62,0.5980461566821174
63,0.5959839412329214
64,0.5981450617818735
65,0.59562544213331
66,0.5920992013363031
67,0.5996107483311607
68,0.6141245236623536
69,0.6076502807839963
70,0.6156943361719928
71,0.6074952651345774
72,0.5792413831109279
73,0.5874848748827309
74,0.6018511358246283
75,0.6089150802867052
76,0.6191083407281393
77,0.6318845206696149
78,0.6281102686340403
79,0.6308506709897975
80,0.6344813632868518
81,0.6200664557249326
82,0.6212901941939727
83,0.6219597395175601
84,0.6384256533914834
85,0.6407650086987706
86,0.6449238403582812
87,0.6624808432549633
88,0.6648926554626814
89,0.6632398479476319
90,0.6833780340540981
91,0.6788425938583529
92,0.6716630358579738
93,0.6641318341907748
94,0.6797209345654379
95,0.6710407105085736
96,0.6645518083081983
97,0.6522793144876897
98,0.6530284486034064
99,0.6423544937063391
