trial,pA
0,0.9914225145863312
1,0.984586122462013
2,0.983260482104664
3,0.9808248817563061
4,0.9799815629977741
5,0.979620401321227
6,0.9794015077019677
7,0.9795128302068314
8,0.9780796442928896
9,0.9781329987508619
10,0.9774950992916087
11,0.9770173743789806
12,0.9773097977445508
13,0.9774885119557294
14,0.9777399445601348
15,0.9778222498866469
16,0.9779254600434256
17,0.9774220711405849
18,0.9771631823262874
19,0.9770025512111365
20,0.9770325322007296
21,0.9768670581184393
22,0.9765831665774143
23,0.976486483856684
24,0.9764357582357687
25,0.9762336479627922
26,0.9762005209440907
27,0.9762426188421998
28,0.9762759464606484
29,0.975917156991752
30,0.9757653900393798
31,0.9757978252588573
32,0.9757121131831442
33,0.975853454993368
34,0.9758147179811338
35,0.9757262626127291
36,0.9757179309786792
37,0.9755295378402589
38,0.9755204988624435
39,0.9755220453513526
40,0.9755214359363737
41,0.9755219132731551
42,0.9753334866305601
43,0.9753239416422892
44,0.9753251102445649
45,0.9753239546569686
46,0.9751351563159556
47,0.9750254071093457
48,0.9749690586192573
49,0.9747186292084098
50,0.9746262556204778
51,0.9745486892692328
52,0.9745397578551678
53,0.9745440894287684
54,0.9745503999286373
55,0.974557311767472
56,0.9745282440801327
57,0.9745261166413535
58,0.9742371806931176
59,0.9742716307849923
60,0.9742997405938509
61,0.9743150061523431
62,0.9742230376848374
63,0.9742230715060954
64,0.9741356302875667
65,0.9740263702920192
66,0.9736922035581176
67,0.973552514144662
68,0.9735607014669536
69,0.9732406875052411
70,0.9730853712852539
71,0.9731147493821994
72,0.9731317331724527
73,0.9731222576254417
74,0.9731240287646075
75,0.9729375267989618
76,0.9727396841589343
77,0.9727439061660714
78,0.9727329162473912
79,0.9727277549003551
80,0.9724386535309671
81,0.9724426936197383
82,0.9724725745771174
83,0.9723399822748031
84,0.9723283014351215
85,0.9723276255888773
86,0.972327365840013
87,0.9723274300977132
88,0.972327342730651
89,0.9721382035289111
90,0.9721416383036406
91,0.9721455406505934
92,0.9722718062011929
93,0.9722990411564526
94,0.9722131309378379
95,0.9721642425823271
96,0.9722393373993468
97,0.972282674352807
98,0.9721188508117109
99,0.9720336713888701
