trial,pA
0,0.9999993524052112
1,0.9999981586321257
2,0.9999952837884816
3,0.9999890049017369
4,0.9998092572053175
5,0.9997907769712203
6,0.9997233372620363
7,0.999651775405683
8,0.9995553461187341
9,0.9989818022272008
10,0.9984932869489394
11,0.997894498174877
12,0.9971100589970135
13,0.9960594649291324
14,0.9939706995308659
15,0.9918697596798329
16,0.9889450604615133
17,0.9847832102182276
18,0.9803402124563714
19,0.9770756415224751
20,0.9715770003388008
21,0.9667104483579404
22,0.9615065728989747
23,0.9553989911055721
24,0.94881142954236
25,0.9410311407696168
26,0.9332000189488333
27,0.9247218211778491
28,0.913521703468293
29,0.9043161075694165
30,0.8941734229393448
31,0.8826443993858119
32,0.8716988589661471
33,0.8599701851872762
34,0.8474410527514429
35,0.8348130866375568
36,0.8222626589193222
37,0.8102925396417513
38,0.7989000709970623
39,0.7833749368617567
40,0.7707624464116966
41,0.7581932689678275
42,0.7456859508326007
43,0.7313657854987505
44,0.7198918971720649
45,0.7083771988191252
46,0.6956825729504118
47,0.6837541397892078
48,0.6718021581279988
49,0.6618698508604721
50,0.6486308357769948
51,0.6339981315716876
52,0.6219316977005823
53,0.612680097185487
54,0.6006018117564147
55,0.5884612977338802
56,0.5775955832908001
57,0.5661042592903448
58,0.5541428050639962
59,0.5431328876965422
60,0.5331301842151949
61,0.5233784702748069
62,0.5126166410689769
63,0.5006738914790312
64,0.4903818485008333
65,0.48058827879609245
66,0.47182006183654795
67,0.4640160538377346
68,0.45510753218530453
69,0.44388396221521587
70,0.43437365952168455
71,0.4239651067752933
72,0.41682916804395753
73,0.40824612641235564
74,0.40080238478138214
75,0.39306958698648203
76,0.38592132541975005
77,0.37734926644655203
78,0.3692520943331901
79,0.36060019969381096
80,0.3542241876157223
81,0.3477080398579714
82,0.3398465152695158
83,0.33194924873189985
84,0.32505362706469526
85,0.31939214652100667
86,0.31295080918991414
87,0.30671564089745823
88,0.29859271842345164
89,0.29331922332041654
90,0.28726034202514117
91,0.2807143774116638
92,0.2749044069194885
93,0.2687388886214551
94,0.2624129630463429
95,0.25700327687824454
96,0.25222339317256065
97,0.24668732186907133
98,0.24274571221661376
99,0.23818702836361566
