trial,pA
0,0.5
1,0.6800995001471466
2,0.7932173520694868
3,0.8107859719813088
4,0.8195309472811936
5,0.8237383119177448
6,0.83870985405375
7,0.8373125672244673
8,0.8760303695249964
9,0.8916839420651123
10,0.8907828937518952
11,0.895769568836186
12,0.9234107609848998
13,0.9296403533436138
14,0.9313724450120755
15,0.925804985114971
16,0.9301129823903607
17,0.9253440952324467
18,0.9285838355963556
19,0.9487888086128082
20,0.9411106064627472
21,0.9443200675962489
22,0.9466033349935438
23,0.9606778284305336
24,0.9644946039649035
25,0.9704279726152155
26,0.9748893952585612
27,0.9600170328543676
28,0.9603982117697043
29,0.9625622378179098
30,0.9665835085590405
31,0.9638982222996115
32,0.9665909097081834
33,0.9800636576023848
34,0.9810696951004203
35,0.9800026291507308
36,0.9802267252519382
37,0.9800011844215686
38,0.9801527395772337
39,0.9816130068859191
40,0.9800032757669521
41,0.980000141577871
42,0.9800530713654638
43,0.9809810231667581
44,0.9837016107147867
45,0.9864550582953044
46,0.9881680439069416
47,0.9890762050228371
48,0.989537112828921
49,0.9897684323060852
50,0.9898842006270137
51,0.9899420983723628
52,0.9899710489435262
53,0.9999999999997223
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
