trial,pA
0,0.5
1,0.5214938524546199
2,0.527913947267137
3,0.5272337969482952
4,0.5525109299113552
5,0.566323667993722
6,0.5808300283131558
7,0.6000378549789052
8,0.6112649275438439
9,0.621658377643051
10,0.6149805793885301
11,0.6059799861858735
12,0.6039207820097899
13,0.6098888262979117
14,0.6082684157851805
15,0.606272658688619
16,0.6086860796724785
17,0.623419063772548
18,0.6203655439700747
19,0.6259295366765913
20,0.6022750781609226
21,0.6069312909593688
22,0.6275523112657779
23,0.6279588213528252
24,0.6058633653465605
25,0.5963237505366743
26,0.5994524400831298
27,0.6015513452103418
28,0.6007631854549276
29,0.6157383316851883
30,0.6086294731424122
31,0.6103615805964396
32,0.6107833677357961
33,0.6022286840198185
34,0.6162894256593332
35,0.6197671754148105
36,0.6216413427652214
37,0.622737846380993
38,0.623958589098764
39,0.6237189132420033
40,0.6204995529798356
41,0.6207705717259769
42,0.6208303436753094
43,0.6209088530816508
44,0.6213413474928534
45,0.6219015485929343
46,0.6225615957377145
47,0.6208700121816154
48,0.6209347177163618
49,0.6205457979760142
50,0.6208548499457341
51,0.6211388876269939
52,0.6209038566015149
53,0.6212290414119418
54,0.621818298497885
55,0.6218463110586802
56,0.6216105129516586
57,0.621091216505775
58,0.6213449701657959
59,0.6219867536966722
60,0.6214056158265742
61,0.6215260136774535
62,0.6213340274118049
63,0.635087380877533
64,0.638244777798555
65,0.6402229466634499
66,0.6404342970396497
67,0.6404131734764998
68,0.6404486074938832
69,0.6549258328000215
70,0.6579618667961236
71,0.6597304242470696
72,0.6607774790126264
73,0.6598131228116492
74,0.6599053517773383
75,0.6600215646669437
76,0.6745416020735655
77,0.6773878253584406
78,0.6789944027982778
79,0.6793151341218653
80,0.6797434973873681
81,0.6800725535982535
82,0.6803680952442474
83,0.680321792120685
84,0.6806116970898711
85,0.680899042515044
86,0.6803123724051173
87,0.6804812806260797
88,0.680873572789278
89,0.6810843500322943
90,0.6815927970009075
91,0.6812010819168642
92,0.681591723653175
93,0.6820000323849503
94,0.6805929161443224
95,0.6950270143650649
96,0.6978950718833409
97,0.6989808846668484
98,0.6997336675249705
99,0.7003089334294103
