trial,pA
0,0.8175744761936435
1,0.7433160321390885
2,0.6767326503911009
3,0.6223811666713721
4,0.5767763232191062
5,0.5360219908274787
6,0.5179851015415567
7,0.5171091339341599
8,0.5120196171385649
9,0.5134137924951521
10,0.5042727128636614
11,0.5019481697623881
12,0.5005674422003351
13,0.4988490487803529
14,0.4997185999617633
15,0.49927684035379877
16,0.4987730951480674
17,0.49913688788252236
18,0.49747392115014544
19,0.501142870798353
20,0.5010181149981743
21,0.4987344518720384
22,0.5002828169236209
23,0.5012887164036701
24,0.5016169876582753
25,0.5012081886943618
26,0.49979581672757073
27,0.5002380259536022
28,0.5007599190932183
29,0.5007010039584721
30,0.5008480714676318
31,0.5008177393420964
32,0.5005396808877125
33,0.5001305837120277
34,0.5009928182630587
35,0.4994058902103518
36,0.5001034935490059
37,0.49967202107483055
38,0.49919839966928947
39,0.49988784868024394
40,0.501051899419272
41,0.49964234730424567
42,0.5012015795391072
43,0.5023869514762372
44,0.5026405687769119
45,0.5017601125823459
46,0.5020090894248505
47,0.5005005071776126
48,0.49859743696699416
49,0.5011322823569208
50,0.499404444714372
51,0.4994285407768755
52,0.5018116105647936
53,0.5008504101424178
54,0.5012604603497806
55,0.5002635375903473
56,0.502836844708321
57,0.49893947114468706
58,0.5005060198590657
59,0.5014723910066213
60,0.500175369033837
61,0.5022765351560683
62,0.5021432331587111
63,0.5008428492324114
64,0.500094098600741
65,0.5010588994460794
66,0.5023520413568786
67,0.5048648253604603
68,0.5044330254771299
69,0.5023333884933053
70,0.5003995216139568
71,0.5006053798832242
72,0.5010629349119167
73,0.5009496585222593
74,0.5011246933071825
75,0.5010841279760647
76,0.5006158732390358
77,0.5008849906628445
78,0.50267371030139
79,0.5022575954802391
80,0.5032909997266183
81,0.5019731279738151
82,0.5014925621787375
83,0.4994225168606837
84,0.5021622863772733
85,0.5038470226236141
86,0.5035832438624313
87,0.5032499009146375
88,0.5011371289270807
89,0.5012756810764626
90,0.5006505476754792
91,0.500379078736664
92,0.4991156449825136
93,0.49964741465617407
94,0.5030083170999178
95,0.499856395299149
96,0.5007516983439231
97,0.4992974344814152
98,0.5011774546534108
99,0.5003694697080062
