ID,round,choice,reward
0,0,0,2.5
0,1,0,2.5
0,2,0,2.5
0,3,1,5.0
0,4,0,2.5
0,5,1,5.0
0,6,0,2.5
0,7,0,2.5
0,8,1,0.0
0,9,1,0.0
0,10,0,2.5
0,11,1,0.0
0,12,1,0.0
0,13,1,0.0
0,14,0,2.5
0,15,1,0.0
0,16,1,0.0
0,17,0,2.5
0,18,0,2.5
0,19,0,2.5
0,20,1,5.0
0,21,1,0.0
0,22,0,2.5
0,23,0,2.5
0,24,0,2.5
0,25,1,0.0
0,26,1,0.0
0,27,0,2.5
0,28,1,0.0
0,29,1,0.0
0,30,0,2.5
0,31,0,2.5
0,32,0,2.5
0,33,1,5.0
0,34,0,2.5
0,35,0,2.5
0,36,1,5.0
0,37,1,0.0
0,38,1,0.0
0,39,0,2.5
0,40,1,0.0
0,41,1,0.0
0,42,1,0.0
0,43,1,0.0
0,44,1,0.0
0,45,1,0.0
0,46,0,2.5
0,47,0,2.5
0,48,0,2.5
0,49,0,2.5
0,50,0,2.5
0,51,1,0.0
0,52,1,0.0
0,53,0,2.5
0,54,1,0.0
0,55,1,5.0
0,56,1,0.0
0,57,1,0.0
0,58,1,0.0
0,59,0,2.5
0,60,1,0.0
0,61,1,0.0
0,62,0,2.5
0,63,0,2.5
0,64,1,5.0
0,65,0,2.5
0,66,1,5.0
0,67,0,2.5
0,68,0,2.5
0,69,0,2.5
0,70,1,0.0
0,71,0,2.5
0,72,1,0.0
0,73,1,0.0
0,74,0,2.5
0,75,1,0.0
0,76,1,0.0
0,77,0,2.5
0,78,1,0.0
0,79,0,2.5
0,80,0,2.5
0,81,0,2.5
0,82,0,2.5
0,83,0,2.5
0,84,1,0.0
0,85,0,2.5
0,86,0,2.5
0,87,0,2.5
0,88,1,5.0
0,89,0,2.5
0,90,0,2.5
0,91,0,2.5
0,92,0,2.5
0,93,0,2.5
0,94,0,2.5
0,95,0,2.5
0,96,0,2.5
0,97,0,2.5
0,98,0,2.5
0,99,1,0.0
1,0,1,0.0
1,1,1,0.0
1,2,0,2.5
1,3,0,2.5
1,4,0,2.5
1,5,0,2.5
1,6,1,0.0
1,7,1,0.0
1,8,0,2.5
1,9,0,2.5
1,10,0,2.5
